Customer_ID,Revenue_USD
10001,1100.288
10001,2337.203
10001,1905.7272000000005
10001,263.215
10001,1883.5178
10002,3.1966704
10002,6.0646278
10002,27.7165889
10002,10.62215
10002,5.8276372
10002,29.434559
10003,13.1209249
10003,38.8389352
10003,6.0647395
10003,15.5970171
10003,6.9032445
10003,46.7791856
10003,51.2563467
10003,0.0
10004,55175.35164
10004,43516.85366
10004,56368.22868
10004,37092.54291999999
10005,13965.482
10005,32314.518
10005,5962.656
10005,25035.584
10005,22123.962
10005,32220.736
10005,87096.128
10006,14008.489250000002
10006,12630.688920000002
10006,10585.88816
10006,1514.45036
10006,13299.98816
10006,15534.14154
10006,12980.35765
10007,37244.6451
10007,67071.8048
10007,23652.837
10007,0.0
10007,1390.7712
10008,3.8384526
10008,4.304701799999999
10009,128.867112
10009,28.718592
10009,180.009984
10009,12.936660000000002
10009,58.01172
10009,72.60727200000001
10009,138.33553200000003
10009,0.0
10010,3626.6458200000006
10010,20780.9263
10010,1670.30728
10010,1100.23292
10011,2.9723463000000003
10011,5.983155200000001
10011,1.0046256
10011,4.5004608
10012,1847.1445200000005
10012,1586.22359
10012,341.19834
10012,1782.6121600000004
10012,3857.275650000001
10012,2520.18137
10012,6073.391710000001
10012,658.2782500000001
10012,863.4009900000001
10013,7633.0252
10013,5321.388800000001
10013,6062.8078000000005
10013,551.5255999999999
10014,14.920848
10014,30.922956000000003
10014,135.516624
10014,20.32044
10014,47.5395
10015,626.1964
10015,292.194
10015,288.234
10015,135.992
10015,65.56800000000001
10015,277.72920000000005
10016,29646.36311
10016,13145.89192
10016,35893.0448
10016,28528.89519
10016,0.0
10016,5939.751899999999
10016,32244.8301
10016,38054.65592
10016,14599.96064
10016,99238.94554
10016,6224.24968
10017,10435.312
10017,305.564
10018,0.0
10018,3299.6565
10018,6785.593499999999
10018,18125.47572
10018,15992.786039999995
10018,7565.253949999999
10018,16489.99056
10018,31815.71613
10019,1417.26078
10019,3191.7958200000003
10019,377.73783
10019,942.678
10019,885.66048
10019,986.8122000000002
10020,2959.62864
10020,2442.827232
10020,1828.484832
10020,172.257024
10020,3573.586848
10020,430.57152
10020,1573.533216
10021,717.1834319999999
10021,950.569038
10021,582.859692
10022,6.2130144000000005
10022,1.4186952000000002
10022,1.6041232
10022,2.8486176
10022,2.5082856
10022,4.2379656
10023,59.15420000000001
10023,266.6521200000001
10023,0.0
10023,466.6662
10023,70.07392000000002
10023,113.61812
10024,92.142414
10024,58.73687999999999
10024,394.612128
10024,402.489864
10024,676.010232
10025,329.0895
10025,145.359522
10025,610.0099200000001
10025,1195.6486140000002
10025,713.967858
10025,660.75264
10026,974.15136
10026,316.9584
10026,1786.6086300000002
10026,833.56614
10026,971.54316
10026,328.83084
10026,1340.8294500000002
10027,133.310976
10027,374.346624
10027,19.23168
10027,6.482112000000001
10027,31.297536000000004
10028,10688.17594
10028,3520.7872
10028,3228.49389
10028,12102.65368
10028,3331.32122
10028,3652.7099
10028,11073.0811
10028,12386.20628
10028,0.0
10028,15292.08306
10028,2842.3058
10029,3620.35926
10029,5161.63968
10029,4641.10047
10029,2276.8344
10029,4401.345330000001
10029,1632.54852
10029,1713.3292800000002
10029,3163.44852
10029,4214.3328
10029,4121.630730000001
10030,19260.239
10030,5673.7210000000005
10030,2533.76
10030,8530.626
10030,5723.034000000001
10030,7868.73
10031,6653.218
10031,39088.201
10031,4914.812
10031,22345.207
10031,22030.338000000003
10031,16489.375
10032,4.6305000000000005
10032,1.990156
10032,9.306375200000002
10032,0.759
10032,1.23882
10032,8.0851296
10032,2.7216288000000004
10033,2221.218
10033,976.508
10033,0.0
10034,134.58821
10034,130.81414500000002
10035,1849.12416
10035,2509.2547200000004
10035,3918.81483
10035,766.8135000000001
10035,2056.2066000000004
10035,2035.57968
10035,332.92539000000005
10035,414.8928
10035,826.2839700000001
10036,2154.69
10036,1553.8318
10036,1315.247
10036,501.2712
10036,1117.8828
10036,1137.6708000000003
10037,0.54339
10037,0.5198522000000001
10037,2.2033268
10037,0.5184872
10037,0.5239400000000001
10037,0.7754584999999999
10037,0.2663088
10037,1.4699479
10038,1086.6672
10038,416.0008
10038,646.1909999999999
10038,121.882
10038,719.2986
10038,601.8906000000001
10038,453.17
10038,357.5184
10039,3716.6614800000007
10039,1337.5362000000002
10039,612.34516
10039,458.8416
10039,5772.0964
10039,4081.502880000001
10040,68.81637
10040,485.2856632
10041,25.0023829
10042,5125.05944
10042,5340.284
10042,4075.71428
10042,4961.61564
10042,7837.49318
10043,14652.50181
10043,17982.27925
10043,11027.95483
10043,7247.143239999999
10043,7315.30668
10043,2485.96023
10043,16681.45508
10043,1857.90967
10044,25026.48829
10045,0.8247707999999998
10045,4.766284499999999
10045,1.953897
10045,0.8534106
10045,0.8220168
10045,0.6752475
10046,17.6624608
10046,37.1291154
10046,27.7299836
10046,3.1184946
10046,20.1897668
10047,1.3389948
10047,0.2197624
10047,2.2124795
10047,0.4180671
10048,8491.32018
10048,7239.283839999999
10048,51338.52564
10048,47713.34852
10048,0.0
10048,64792.83045999999
10048,115537.16348
10048,42748.69296
10048,44033.0969
10048,6649.970039999999
10049,3474.06838
10049,1311.58784
10049,2196.20382
10049,1479.05872
10049,200.95884
10050,9.220939
10050,122.4207712
10051,1748.628
10051,10746.6398
10051,12615.12
10051,33877.470400000006
10051,14682.7238
10051,1065.4002
10051,6681.131200000001
10051,2461.4114000000004
10051,11965.2752
10051,0.0
10052,36997.29666000001
10052,9995.333790000002
10052,28407.9288
10052,22737.70629
10052,32772.286620000006
10053,12884.87692
10053,49962.921870000006
10053,2280.4369600000005
10053,27936.903830000003
10053,38658.60381000001
10054,41537.00199999999
10054,103011.75
10055,685.6988
10055,545.5783200000001
10055,1807.17694
10055,6745.38564
10055,3324.5684
10056,5274.76212
10056,105846.59552
10057,451.71126
10057,1353.2241
10057,958.45335
10058,32678.758080000003
10058,16418.9316
10058,64616.87533000001
10058,55080.67025000001
10059,5215.382640000001
10059,3084.4268100000004
10059,11154.514320000002
10059,6831.3067200000005
10059,1131.64128
10059,4476.32109
10059,5621.720760000001
10059,6492.6792000000005
10059,5770.80126
10060,10849.74
10060,12339.288
10060,3641.4
10060,33935.244
10060,14580.736
10060,31438.677
10060,4262.895
10060,37677.23
10061,713.4969760000001
10061,270.097996
10061,465.47813
10061,470.865634
10061,441.09696
10061,1124.8975300000002
10061,362.891384
10062,1130.33372
10062,577.6736000000001
10062,252.84764
10062,197.81680000000003
10062,1406.72816
10062,242.75108000000003
10062,32.99734
10062,93.72322
10062,663.4359
10063,19947.87222
10063,16432.92497
10063,3695.50061
10063,12282.80627
10064,10643.12252
10064,10541.42876
10064,4062.9293
10064,9276.2034
10064,4506.23
10064,4797.26164
10064,1652.05
10065,309.62052800000004
10065,427.09618000000006
10065,235.825632
10065,668.7222079999999
10065,285.746552
10066,16388.653827
10066,8836.474143
10067,11682.701550000002
10067,1392.10812
10068,4174.4166000000005
10068,2214.28377
10068,9801.90566
10068,7350.02805
10068,3761.0232
10069,37234.38324
10069,8476.488
10069,34987.19952
10069,35876.890400000004
10069,32322.84366
10069,32671.694880000003
10069,0.0
10069,7917.15587
10070,427.53375
10070,484.50250000000005
10070,346.15925
10070,140.15699999999998
10070,797.2745
10070,430.94575
10070,400.71375
10070,357.72
10070,966.32075
10071,13540.17104
10071,9185.79951
10071,5380.53153
10071,3094.6483700000003
10071,32964.90232
10071,5913.97852
10072,745.96984
10072,1698.8195
10072,5821.1886
10072,0.0
10072,2987.7772000000004
10072,5517.90918
10072,4176.7383
10072,7620.32189
10072,4319.2688800000005
10072,2304.5641100000003
10073,15809.639040000002
10073,32085.24763
10073,7840.02774
10073,11297.60366
10073,9640.113690000002
10073,40413.65423
10073,18928.21515
10073,35423.319220000005
10073,2385.29605
10073,6050.36982
10074,8277.9885
10074,1858.218
10074,4311.2175
10074,8396.91475
10074,6698.12
10074,0.0
10074,7466.96575
10074,5841.2085
10075,175.81145400000003
10075,450.199113
10075,448.6113632
10075,128.5545807
10075,180.0323707
10075,373.8353346
10075,56.956718
10075,119.7996345
10076,3383.3634
10076,2782.722
10076,914.004
10076,1005.8994
10076,3613.6152
10076,293.9356
